,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
20,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,55.926474117245625,Heinz2001,Heinz2001,40.0,40.0,40.0,[324.33241655],5.798914304299312,phase
21,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,36.433654302771586,Heinz2001,Heinz2001,40.0,40.0,20.0,[28.66758311],6.381801394870719,phase
22,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,46.433654302771586,Heinz2001,Heinz2001,40.0,40.0,30.0,[34.05066512],5.929109144318594,phase
23,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,56.433654302771586,Heinz2001,Heinz2001,40.0,40.0,40.0,[67.40284352],6.370796096681982,phase
24,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,36.896005181474834,Heinz2001,Heinz2001,40.0,40.0,20.0,[4.87395142],6.920910956644793,phase
25,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,46.896005181474834,Heinz2001,Heinz2001,40.0,40.0,30.0,[132.59561197],6.48880959386123,phase
26,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,56.896005181474834,Heinz2001,Heinz2001,40.0,40.0,40.0,[126.58706696],6.981696684110919,phase
27,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,37.270005918784854,Heinz2001,Heinz2001,40.0,40.0,20.0,[41.46799005],7.510658984335633,phase
28,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,47.270005918784854,Heinz2001,Heinz2001,40.0,40.0,30.0,[288.18684891],7.096129125183263,phase
29,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,57.270005918784854,Heinz2001,Heinz2001,40.0,40.0,40.0,[186.10626702],7.646884427877942,phase
