,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
20,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,AI,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,55.926474117245625,Heinz2001,Heinz2001,40.0,40.0,40.0,[148.28529044],0.057695152684154385,phase
21,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,AI,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,36.433654302771586,Heinz2001,Heinz2001,40.0,40.0,20.0,[89.82193771],0.1168739782445195,phase
22,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,AI,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,46.433654302771586,Heinz2001,Heinz2001,40.0,40.0,30.0,[156.79732339],0.08465226535220771,phase
23,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,AI,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,56.433654302771586,Heinz2001,Heinz2001,40.0,40.0,40.0,[49.46659745],0.06822922568162215,phase
24,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,AI,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,36.896005181474834,Heinz2001,Heinz2001,40.0,40.0,20.0,[127.75471249],0.1380327346171703,phase
25,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,AI,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,46.896005181474834,Heinz2001,Heinz2001,40.0,40.0,30.0,[20.63281406],0.1031132900505985,phase
26,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,AI,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,56.896005181474834,Heinz2001,Heinz2001,40.0,40.0,40.0,[237.61303743],0.08406147967218351,phase
27,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,AI,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,37.270005918784854,Heinz2001,Heinz2001,40.0,40.0,20.0,[154.8062714],0.17057874367453824,phase
28,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,AI,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,47.270005918784854,Heinz2001,Heinz2001,40.0,40.0,30.0,[34.123718],0.13008803496243418,phase
29,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,AI,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,57.270005918784854,Heinz2001,Heinz2001,40.0,40.0,40.0,[269.22389366],0.10669267010348242,phase
