,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
25,"[[0.         0.        ]
 [0.         0.02777778]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,[48.08607246],Heinz2001,Heinz2001,40.0,40.0,30.0,6.499773852919208,level
26,"[[0.         0.        ]
 [0.         0.02777778]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,[58.75494778],Heinz2001,Heinz2001,40.0,40.0,40.0,6.966856006048649,level
27,"[[0.         0.        ]
 [0.         0.02777778]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,[35.70955395],Heinz2001,Heinz2001,40.0,40.0,20.0,7.660039889578067,level
28,"[[0.         0.        ]
 [0.         0.02777778]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,[49.00617508],Heinz2001,Heinz2001,40.0,40.0,30.0,7.10376647903669,level
29,"[[0.         0.        ]
 [0.         0.02777778]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,500000.0,[59.13125084],Heinz2001,Heinz2001,40.0,40.0,40.0,7.691884645427468,level
30,"[[0.         0.        ]
 [0.         0.02777778]]",5763.337624100281,1921.11254136676,RP,[0.001 0.001],0.1,0.01,3842.22508273352,500000.0,[40.28844147],Heinz2001,Heinz2001,40.0,40.0,20.0,8.230772908479063,level
31,"[[0.         0.        ]
 [0.         0.02777778]]",5763.337624100281,1921.11254136676,RP,[0.001 0.001],0.1,0.01,3842.22508273352,500000.0,[48.21441386],Heinz2001,Heinz2001,40.0,40.0,30.0,7.779752932082278,level
32,"[[0.         0.        ]
 [0.         0.02777778]]",5763.337624100281,1921.11254136676,RP,[0.001 0.001],0.1,0.01,3842.22508273352,500000.0,[56.01447334],Heinz2001,Heinz2001,40.0,40.0,40.0,8.363657746319106,level
33,"[[0.         0.        ]
 [0.         0.02777778]]",6369.5322422838035,2123.1774140946013,RP,[0.001 0.001],0.1,0.01,4246.354828189203,500000.0,[39.32145313],Heinz2001,Heinz2001,40.0,40.0,20.0,8.883577767428354,level
34,"[[0.         0.        ]
 [0.         0.02777778]]",6369.5322422838035,2123.1774140946013,RP,[0.001 0.001],0.1,0.01,4246.354828189203,500000.0,[46.75689865],Heinz2001,Heinz2001,40.0,40.0,30.0,8.503754976691853,level
35,"[[0.         0.        ]
 [0.         0.02777778]]",6369.5322422838035,2123.1774140946013,RP,[0.001 0.001],0.1,0.01,4246.354828189203,500000.0,[55.7241919],Heinz2001,Heinz2001,40.0,40.0,40.0,9.144712790587109,level
36,"[[0.         0.        ]
 [0.         0.02777778]]",7039.487122156315,2346.4957073854384,RP,[0.001 0.001],0.1,0.01,4692.991414770877,500000.0,[40.11471707],Heinz2001,Heinz2001,40.0,40.0,20.0,9.882392787197876,level
37,"[[0.         0.        ]
 [0.         0.02777778]]",7039.487122156315,2346.4957073854384,RP,[0.001 0.001],0.1,0.01,4692.991414770877,500000.0,[49.91135261],Heinz2001,Heinz2001,40.0,40.0,30.0,9.38140760002471,level
38,"[[0.         0.        ]
 [0.         0.02777778]]",7039.487122156315,2346.4957073854384,RP,[0.001 0.001],0.1,0.01,4692.991414770877,500000.0,[58.81617455],Heinz2001,Heinz2001,40.0,40.0,40.0,10.13916292221627,level
39,"[[0.         0.        ]
 [0.         0.02777778]]",7779.908642904815,2593.3028809682714,RP,[0.001 0.001],0.1,0.01,5186.605761936543,500000.0,[35.64705164],Heinz2001,Heinz2001,40.0,40.0,20.0,10.915263809101052,level
40,"[[0.         0.        ]
 [0.         0.02777778]]",7779.908642904815,2593.3028809682714,RP,[0.001 0.001],0.1,0.01,5186.605761936543,500000.0,[49.81464989],Heinz2001,Heinz2001,40.0,40.0,30.0,10.33224410611577,level
41,"[[0.         0.        ]
 [0.         0.02777778]]",7779.908642904815,2593.3028809682714,RP,[0.001 0.001],0.1,0.01,5186.605761936543,500000.0,[57.30425367],Heinz2001,Heinz2001,40.0,40.0,40.0,11.060221198288502,level
42,"[[0.         0.        ]
 [0.         0.02777778]]",8598.208568553291,2866.069522851097,RP,[0.001 0.001],0.1,0.01,5732.139045702194,500000.0,[36.89457616],Heinz2001,Heinz2001,40.0,40.0,20.0,11.930963454861658,level
43,"[[0.         0.        ]
 [0.         0.02777778]]",8598.208568553291,2866.069522851097,RP,[0.001 0.001],0.1,0.01,5732.139045702194,500000.0,[47.49588426],Heinz2001,Heinz2001,40.0,40.0,30.0,11.38513220919111,level
44,"[[0.         0.        ]
 [0.         0.02777778]]",8598.208568553291,2866.069522851097,RP,[0.001 0.001],0.1,0.01,5732.139045702194,500000.0,[60.42153253],Heinz2001,Heinz2001,40.0,40.0,40.0,12.229494981157561,level
45,"[[0.         0.        ]
 [0.         0.02777778]]",9502.578241168148,3167.526080389383,RP,[0.001 0.001],0.1,0.01,6335.052160778766,500000.0,[40.6663813],Heinz2001,Heinz2001,40.0,40.0,20.0,12.94159744390589,level
46,"[[0.         0.        ]
 [0.         0.02777778]]",9502.578241168148,3167.526080389383,RP,[0.001 0.001],0.1,0.01,6335.052160778766,500000.0,[49.93833537],Heinz2001,Heinz2001,40.0,40.0,30.0,12.551848826567305,level
47,"[[0.         0.        ]
 [0.         0.02777778]]",9502.578241168148,3167.526080389383,RP,[0.001 0.001],0.1,0.01,6335.052160778766,500000.0,[56.80752114],Heinz2001,Heinz2001,40.0,40.0,40.0,13.601277211318711,level
48,"[[0.         0.        ]
 [0.         0.02777778]]",10502.070577791961,3500.69019259732,RP,[0.001 0.001],0.1,0.01,7001.38038519464,500000.0,[39.55725989],Heinz2001,Heinz2001,40.0,40.0,20.0,14.655584821068858,level
