,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
18,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,200000.0,30.083532269431913,Zilany2014,Zilany2014,40.0,40.0,20.0,[19.58315558],4.742075883823378,phase
19,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,200000.0,40.08353226943191,Zilany2014,Zilany2014,40.0,40.0,30.0,[9.01611884],4.914522381846976,phase
20,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,200000.0,50.08353226943191,Zilany2014,Zilany2014,40.0,40.0,40.0,[247.99132623],5.317157748061971,phase
21,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,200000.0,28.700873207735263,Zilany2014,Zilany2014,40.0,40.0,20.0,[41.37410088],4.799384926164362,phase
22,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,200000.0,38.70087320773526,Zilany2014,Zilany2014,40.0,40.0,30.0,[158.76964134],4.867302272931453,phase
23,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,200000.0,48.70087320773526,Zilany2014,Zilany2014,40.0,40.0,40.0,[334.29453832],5.485078385974824,phase
24,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,200000.0,27.243707257190316,Zilany2014,Zilany2014,40.0,40.0,20.0,[356.89615563],4.8548260145489115,phase
25,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,200000.0,37.243707257190316,Zilany2014,Zilany2014,40.0,40.0,30.0,[9.62886851],5.097680978312689,phase
26,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,200000.0,47.243707257190316,Zilany2014,Zilany2014,40.0,40.0,40.0,[232.72219787],5.850302763589278,phase
27,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,200000.0,25.825346609990415,Zilany2014,Zilany2014,40.0,40.0,20.0,[81.79253884],5.071873689806871,phase
28,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,200000.0,35.82534660999041,Zilany2014,Zilany2014,40.0,40.0,30.0,[279.89113467],5.4414009604571945,phase
29,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5214.835141090398,1738.2783803634659,RP,[0.001 0.001],0.1,0.01,3476.5567607269318,200000.0,45.82534660999041,Zilany2014,Zilany2014,40.0,40.0,40.0,[293.42353413],6.104599910739229,phase
30,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,RP,[0.001 0.001],0.1,0.01,3842.22508273352,200000.0,24.396579551198933,Zilany2014,Zilany2014,40.0,40.0,20.0,[263.9232022],5.303344076562896,phase
31,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,RP,[0.001 0.001],0.1,0.01,3842.22508273352,200000.0,34.39657955119893,Zilany2014,Zilany2014,40.0,40.0,30.0,[4.96038233],5.785381116975216,phase
32,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,RP,[0.001 0.001],0.1,0.01,3842.22508273352,200000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,40.0,40.0,[41.88064238],6.494123890057134,phase
33,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,RP,[0.001 0.001],0.1,0.01,4246.354828189203,200000.0,22.96831848683961,Zilany2014,Zilany2014,40.0,40.0,20.0,[110.46103053],5.572421920559022,phase
34,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,RP,[0.001 0.001],0.1,0.01,4246.354828189203,200000.0,32.96831848683961,Zilany2014,Zilany2014,40.0,40.0,30.0,[261.12415841],6.204131763993502,phase
35,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,RP,[0.001 0.001],0.1,0.01,4246.354828189203,200000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,40.0,40.0,[86.34795389],7.003162975881696,phase
36,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,RP,[0.001 0.001],0.1,0.01,4692.991414770877,200000.0,21.603993096175458,Zilany2014,Zilany2014,40.0,40.0,20.0,[291.19793172],5.876480949503318,phase
37,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,RP,[0.001 0.001],0.1,0.01,4692.991414770877,200000.0,31.603993096175458,Zilany2014,Zilany2014,40.0,40.0,30.0,[320.03892917],6.646790240705236,phase
38,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,RP,[0.001 0.001],0.1,0.01,4692.991414770877,200000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,40.0,40.0,[128.08595381],7.460323447262509,phase
39,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,RP,[0.001 0.001],0.1,0.01,5186.605761936543,200000.0,20.506141534002488,Zilany2014,Zilany2014,40.0,40.0,20.0,[240.52941043],6.187674694220658,phase
40,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,RP,[0.001 0.001],0.1,0.01,5186.605761936543,200000.0,30.506141534002488,Zilany2014,Zilany2014,40.0,40.0,30.0,[138.98040509],7.138991680443046,phase
41,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,RP,[0.001 0.001],0.1,0.01,5186.605761936543,200000.0,40.50614153400249,Zilany2014,Zilany2014,40.0,40.0,40.0,[229.93796371],8.103963486915854,phase
42,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,RP,[0.001 0.001],0.1,0.01,5732.139045702194,200000.0,19.87458796405344,Zilany2014,Zilany2014,40.0,40.0,20.0,[146.43896538],6.474521528423938,phase
43,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,RP,[0.001 0.001],0.1,0.01,5732.139045702194,200000.0,29.87458796405344,Zilany2014,Zilany2014,40.0,40.0,30.0,[89.03191281],7.646090663263171,phase
44,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,RP,[0.001 0.001],0.1,0.01,5732.139045702194,200000.0,39.87458796405344,Zilany2014,Zilany2014,40.0,40.0,40.0,[130.6237061],8.704602181787354,phase
45,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",9502.578241168148,3167.526080389383,RP,[0.001 0.001],0.1,0.01,6335.052160778766,200000.0,19.636352236832014,Zilany2014,Zilany2014,40.0,40.0,20.0,[247.61656011],6.6924546169840475,phase
