,API,F0,cf_high,cf_low,comps,decoding_type,delta_theta,dur,dur_ramp,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,parity,result,roving_type
27,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,25.825346609990415,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.0036287850760304066,none
28,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,45.82534660999041,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.002444064840517646,none
29,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,65.82534660999042,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.002355046424401914,none
30,[0.],480.27813534169,5283.05948875859,2401.39067670845,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,24.396579551198933,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.004698441381270178,none
31,[0.],480.27813534169,5283.05948875859,2401.39067670845,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.0036617892477177625,none
32,[0.],480.27813534169,5283.05948875859,2401.39067670845,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,64.39657955119893,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.00399833550972164,none
33,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,22.96831848683961,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.007022403158094651,none
34,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.005257749708722876,none
35,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,62.96831848683961,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.006338583408382968,none
36,[0.],586.6239268463596,6452.863195309956,2933.119634231798,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,21.603993096175458,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.00999456241903943,none
37,[0.],586.6239268463596,6452.863195309956,2933.119634231798,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.006840618763180098,none
38,[0.],586.6239268463596,6452.863195309956,2933.119634231798,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,61.60399309617546,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.008898313707194464,none
39,[0.],648.3257202420679,7131.582922662747,3241.628601210339,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,20.506141534002488,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.013765679486845208,none
40,[0.],648.3257202420679,7131.582922662747,3241.628601210339,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,40.50614153400249,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.00933020915147179,none
41,[0.],648.3257202420679,7131.582922662747,3241.628601210339,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,60.50614153400249,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.012572444425826498,none
42,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,19.87458796405344,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.018896899782904476,none
43,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,39.87458796405344,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.01262202804011695,none
44,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,59.87458796405344,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.019311616811958865,none
45,[0.],791.8815200973457,8710.696721070803,3959.407600486729,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,19.636352236832014,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.025689072495043378,none
46,[0.],791.8815200973457,8710.696721070803,3959.407600486729,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,39.63635223683202,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.016369924151141396,none
47,[0.],791.8815200973457,8710.696721070803,3959.407600486729,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,59.63635223683202,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.0294558849532029,none
48,[0.],875.17254814933,9626.89802964263,4375.86274074665,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,19.7611214338582,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.03529243365945986,none
49,[0.],875.17254814933,9626.89802964263,4375.86274074665,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,39.7611214338582,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.023564595978252324,none
50,[0.],875.17254814933,9626.89802964263,4375.86274074665,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,59.7611214338582,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.04124379612496088,none
51,[0.],967.2242243259274,10639.466467585202,4836.121121629637,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,20.695837741874442,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.04893868439886294,none
52,[0.],967.2242243259274,10639.466467585202,4836.121121629637,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,40.69583774187444,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.031328282333989946,none
53,[0.],967.2242243259274,10639.466467585202,4836.121121629637,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,60.69583774187444,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.05418865444975498,none
54,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,22.677518294872545,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.06436291560335909,none
55,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,42.67751829487255,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.040887946086556985,none
56,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,62.67751829487255,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.06567359516949248,none
57,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,24.977208172649956,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.09353271789878069,none
58,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,44.97720817264995,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.0489912781057976,none
59,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,64.97720817264995,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.07699307798560338,none
60,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,26.99566586349379,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.14858516194145646,none
61,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,46.99566586349379,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.06719239250618789,none
62,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,66.9956658634938,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.0858659996887311,none
63,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,28.865164487789535,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.20258539038850507,none
64,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,48.865164487789535,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.0824590984524251,none
65,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,68.86516448778953,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.08423463462241616,none
66,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,30.73619056988742,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.28089434616676223,none
67,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,50.73619056988742,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.10304417878259495,none
68,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,70.73619056988741,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.09413649074416257,none
69,[0.],1762.495576511835,19387.451341630185,8812.477882559175,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,32.594091411120644,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.3010773972764658,none
70,[0.],1762.495576511835,19387.451341630185,8812.477882559175,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,52.594091411120644,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.11350549365822483,none
71,[0.],1762.495576511835,19387.451341630185,8812.477882559175,[ 6  8 10],AI,[0.001],0.1,0.01,200000.0,50000.0,72.59409141112064,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.0786799579580832,none
