,API,F0,cf_high,cf_low,comps,decoding_type,delta_theta,dur,dur_ramp,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,parity,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,27.72442468791052,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.2170369724476657,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.23651553954987975,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,67.72442468791051,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.21650314054893127,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,27.929405972484574,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.2059187257892789,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.26725276807114623,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,67.92940597248457,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.36849455003318,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,28.846680961006932,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.22705718586104953,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.3417891273643847,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,68.84668096100694,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.6380120843631636,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,30.256471991629873,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.2416608504247808,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.4849783776994288,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,70.25647199162987,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.5866485911880139,none
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,31.117958542971323,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.2542076463732793,none
13,[0.],263.567553364268,2899.243087006948,1317.83776682134,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.47077552513327486,none
14,[0.],263.567553364268,2899.243087006948,1317.83776682134,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,71.11795854297132,Zilany2014,Zilany2014,40.0,51.0,60.0,even,0.9175793249481596,none
15,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,30.998772224359527,Zilany2014,Zilany2014,40.0,51.0,20.0,even,0.26069363681382535,none
16,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,[ 6  8 10],RP,[0.001],0.1,0.01,200000.0,50000.0,50.99877222435953,Zilany2014,Zilany2014,40.0,51.0,40.0,even,0.49372274978257913,none
