,API,F0,F0_masker,cf_high,cf_low,decoding_type,delta,delta_theta,dur,dur_ramp,finite_difference_method,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_F0,nominal_level,result,roving_type,stimulus
0,[0.],280.0,288.2046262601778,3080.0,1400.0,AI,0.01,[0.01],0.1,0.01,forward,1000000.0,45.250885147015424,Heinz2001,Heinz2001,40.0,51.0,280.0,30.0,0.0020664840533200068,none,iso
1,[0.],1400.0,1441.023131300889,15400.0,7000.0,AI,0.01,[0.01],0.1,0.01,forward,1000000.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,1400.0,30.0,0.12965590654299256,none,iso
