,API,F0,F0_masker,cf_high,cf_low,decoding_type,delta,delta_theta,dur,dur_ramp,finite_difference_method,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_F0,nominal_level,result,roving_type,stimulus
0,[0.],280.0,288.2046262601778,3080.0,1400.0,RP,0.0001,[0.0001],0.1,0.01,forward,1000000.0,45.250885147015424,Heinz2001,Heinz2001,40.0,51.0,280.0,30.0,0.2603339075698062,none,geom
1,[0.],1400.0,1441.023131300889,15400.0,7000.0,RP,0.0001,[0.0001],0.1,0.01,forward,1000000.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,1400.0,30.0,1.8888915485154743,none,geom
