,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_F0,nominal_level,result,roving_type,stimulus
0,[0.],280.0,3080.0,1400.0,RP,[0.001],0.1,0.01,1250000.0,25.250885147015428,Heinz2001,Heinz2001,40.0,51.0,280.0,10.0,1.1027040249505948,none,iso
1,[0.],280.0,3080.0,1400.0,RP,[0.001],0.1,0.01,1250000.0,35.250885147015424,Heinz2001,Heinz2001,40.0,51.0,280.0,20.0,0.5604065314175775,none,iso
2,[0.],280.0,3080.0,1400.0,RP,[0.001],0.1,0.01,1250000.0,45.250885147015424,Heinz2001,Heinz2001,40.0,51.0,280.0,30.0,0.6806123430737824,none,iso
3,[0.],280.0,3080.0,1400.0,RP,[0.001],0.1,0.01,1250000.0,55.250885147015424,Heinz2001,Heinz2001,40.0,51.0,280.0,40.0,1.6218367454967964,none,iso
4,[0.],1400.0,15400.0,7000.0,RP,[0.001],0.1,0.01,1250000.0,27.935819526844288,Heinz2001,Heinz2001,40.0,51.0,1400.0,10.0,4.202515837072744,none,iso
5,[0.],1400.0,15400.0,7000.0,RP,[0.001],0.1,0.01,1250000.0,37.935819526844284,Heinz2001,Heinz2001,40.0,51.0,1400.0,20.0,2.4370707719035423,none,iso
6,[0.],1400.0,15400.0,7000.0,RP,[0.001],0.1,0.01,1250000.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,1400.0,30.0,3.1143122539502888,none,iso
7,[0.],1400.0,15400.0,7000.0,RP,[0.001],0.1,0.01,1250000.0,57.935819526844284,Heinz2001,Heinz2001,40.0,51.0,1400.0,40.0,6.612782242081007,none,iso
