,API,F0,F0_masker,cf_high,cf_low,decoding_type,delta,delta_theta,dur,dur_ramp,finite_difference_method,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_F0,nominal_level,result,roving_type,stimulus
0,[0.],270.0,277.91160389374284,2970.0,1350.0,RP,10.0,[20.0],0.1,0.01,central,1000000.0,45.08371352925406,Heinz2001,Heinz2001,40.0,51.0,280.0,30.0,0.768322115957462,none,iso
1,[0.],1390.0,1430.730108934454,15290.0,6950.0,RP,10.0,[20.0],0.1,0.01,central,1000000.0,47.93581972230628,Heinz2001,Heinz2001,40.0,51.0,1400.0,30.0,3.132901949401102,none,iso
