,API,F0,F0_masker,cf_high,cf_low,decoding_type,delta,delta_theta,dur,dur_ramp,finite_difference_method,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_F0,nominal_level,result,roving_type,stimulus
0,[0.],279.9999,288.20452332995416,3079.9989000000005,1399.9995000000001,AI,0.0001,[0.0002],0.1,0.01,central,1000000.0,45.25088350099301,Heinz2001,Heinz2001,40.0,51.0,280.0,30.0,0.002075894390330549,none,iso
1,[0.],1399.9999,1441.0230283706653,15399.9989,6999.9995,AI,0.0001,[0.0002],0.1,0.01,central,1000000.0,47.93581952684306,Heinz2001,Heinz2001,40.0,51.0,1400.0,30.0,0.1296443365769392,none,iso
