,API,F0,F0_masker,cf_high,cf_low,decoding_type,delta,delta_theta,dur,dur_ramp,finite_difference_method,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_F0,nominal_level,result,roving_type,stimulus
0,[0.],279.999999,288.20462523087554,3079.999989,1399.9999950000001,RP,1e-06,[2e-06],0.1,0.01,central,1000000.0,45.25088513055521,Heinz2001,Heinz2001,40.0,51.0,280.0,30.0,0.2603624484074976,none,geom
1,[0.],1399.999999,1441.0231302715865,15399.999988999998,6999.999994999999,RP,1e-06,[2e-06],0.1,0.01,central,1000000.0,47.93581952684428,Heinz2001,Heinz2001,40.0,51.0,1400.0,30.0,1.8886669517852057,none,geom
