"","src","f","t"
"1","Lau2017",280,1
"2","Lau2017",1400,4.55
"3","Gockel2018",280,0.43
"4","Gockel2018",1400,2.18
"5","Gockel2020",280,0.48
"6","Gockel2020",1400,1.7
"7","Guest2020",280,0.58
"8","Guest2020",1400,2.94
