"","F0","masker","threshold","sd","subj","experiment"
"4541","280","GEOM",9.125,2.50312305,"x72","Exp1b"
"4551","1400","GEOM",3.25,0.8660254,"x72","Exp1b"
"4561","280","ISO",-1.5,1.19895788,"x72","Exp1b"
"4571","1400","GEOM",4.625,0.80039053,"x72","Exp1b"
"458","280","GEOM",4.375,1.28086885,"x72","Exp1b"
"4591","1400","ISO",2.375,1.00778222,"x72","Exp1b"
"4601","280","GEOM",1.25,0.55901699,"x72","Exp1b"
"4611","1400","ISO",12.75,0.55901699,"x72","Exp1b"
"4621","280","ISO",0.375,0.5153882,"x72","Exp1b"
"4631","1400","GEOM",6.875,2.75283944,"x72","Exp1b"
"4641","280","ISO",-1.625,0.9437293,"x72","Exp1b"
"4651","1400","GEOM",6,0.55901699,"x72","Exp1b"
"4661","280","GEOM",2,1.27475488,"x72","Exp1b"
"4671","1400","ISO",0.625,1.125,"x72","Exp1b"
"4681","280","ISO",-0.125,0.83852549,"x72","Exp1b"
"4691","1400","GEOM",5.125,0.71807033,"x72","Exp1b"
"4701","280","GEOM",4,0.61237244,"x72","Exp1b"
"4711","1400","ISO",13.375,1.46308749,"x72","Exp1b"
"4721","280","GEOM",2.25,1.41421356,"x72","Exp1b"
"4731","280","ISO",-0.375,0.80039053,"x72","Exp1b"
"4741","1400","GEOM",5.125,0.375,"x72","Exp1b"
"4751","1400","ISO",2.25,0.55901699,"x72","Exp1b"
"4761","280","ISO",-0.625,2.18303115,"x72","Exp1b"
"4771","1400","GEOM",5.125,0.71807033,"x72","Exp1b"
"4781","1400","ISO",3.125,0.5153882,"x72","Exp1b"
"4791","280","GEOM",3.625,0.71807033,"x72","Exp1b"
"4801","280","GEOM",13.45833333,0.88290084,"x73","Exp1b"
"4811","280","ISO",7.375,1.66301684,"x73","Exp1b"
"4821","1400","ISO",2.875,1.28086885,"x73","Exp1b"
"483","1400","GEOM",12.875,0.9437293,"x73","Exp1b"
"4841","1400","ISO",12.625,0.80039053,"x73","Exp1b"
"4851","1400","GEOM",8.625,2.91815438,"x73","Exp1b"
"4861","280","ISO",5.875,1.28086885,"x73","Exp1b"
"4871","280","GEOM",14.125,0.375,"x73","Exp1b"
"4891","280","GEOM",11.375,0.80039053,"x73","Exp1b"
"4901","1400","ISO",11.5,0.96824584,"x73","Exp1b"
"4911","280","ISO",9.25,1.98431348,"x73","Exp1b"
"4921","1400","GEOM",10.75,1.11803399,"x73","Exp1b"
"493","1400","ISO",7,0.96824584,"x73","Exp1b"
"4941","280","GEOM",8.375,1.28086885,"x73","Exp1b"
"4951","280","ISO",6.5,1.87082869,"x73","Exp1b"
"4961","280","ISO",5.25,1.6583124,"x73","Exp1b"
"4981","1400","ISO",5.875,0.375,"x73","Exp1b"
"499","1400","GEOM",7.5,1.96850197,"x73","Exp1b"
"5001","280","ISO",3.875,1.00778222,"x73","Exp1b"
"5011","1400","ISO",12.125,0.80039053,"x73","Exp1b"
"5021","280","GEOM",5.75,1.03077641,"x73","Exp1b"
"5031","1400","GEOM",14.125,0.5153882,"x73","Exp1b"
"5041","1400","ISO",2.125,1.97246673,"x73","Exp1b"
"5051","280","GEOM",12.75,0.70710678,"x73","Exp1b"
"5061","280","ISO",8.625,0.5153882,"x73","Exp1b"
"5071","1400","GEOM",11.625,0.5153882,"x73","Exp1b"
"5081","1400","ISO",6.25,1.06066017,"x74","Exp1b"
"5091","1400","GEOM",5.625,1.32876823,"x74","Exp1b"
"5101","280","GEOM",3.25,0.61237244,"x74","Exp1b"
"5111","280","ISO",-1,1.82002747,"x74","Exp1b"
"5121","280","ISO",-1.75,1.47901995,"x74","Exp1b"
"5141","280","GEOM",9,1.5411035,"x74","Exp1b"
"5151","1400","ISO",7.875,2.09538183,"x74","Exp1b"
"5161","280","ISO",-0.625,1.00778222,"x74","Exp1b"
"5171","1400","ISO",6.5,0.70710678,"x74","Exp1b"
"5181","280","GEOM",3.875,1.58607219,"x74","Exp1b"
"5191","1400","GEOM",8,0.93541435,"x74","Exp1b"
"5201","1400","GEOM",10.875,3.16474723,"x74","Exp1b"
"5211","1400","ISO",10,0.61237244,"x74","Exp1b"
"5221","280","GEOM",4.375,1.125,"x74","Exp1b"
"5231","280","ISO",4.375,4.83638553,"x74","Exp1b"
"5241","280","GEOM",2.625,2.00390244,"x74","Exp1b"
"5251","1400","ISO",1.625,0.5153882,"x74","Exp1b"
"5261","280","ISO",-2,1.06066017,"x74","Exp1b"
"5271","1400","GEOM",4.625,1.00778222,"x74","Exp1b"
"5281","280","ISO",-2.125,0.5153882,"x74","Exp1b"
"5291","1400","GEOM",5.125,0.71807033,"x74","Exp1b"
"5301","1400","ISO",1,0.96824584,"x74","Exp1b"
"5311","280","GEOM",1.5,0.8291562,"x74","Exp1b"
"5321","1400","ISO",-0.75,1.47901995,"x74","Exp1b"
"5331","280","GEOM",5.375,2.91815438,"x74","Exp1b"
"5341","1400","GEOM",3.625,0.9437293,"x74","Exp1b"
"5351","280","ISO",-4.375,0.80039053,"x74","Exp1b"
"5361","1400","GEOM",8.75,1.11803399,"x76","Exp1b"
"5371","280","GEOM",0.375,1.00778222,"x76","Exp1b"
"5381","280","ISO",-5.5,2.01556444,"x76","Exp1b"
"5391","1400","ISO",9.875,1.90804219,"x76","Exp1b"
"5401","1400","GEOM",6.625,0.375,"x76","Exp1b"
"5411","280","ISO",-3.875,1.66301684,"x76","Exp1b"
"5421","1400","ISO",6.25,3.03108891,"x76","Exp1b"
"5431","280","GEOM",2.5,1.14564392,"x76","Exp1b"
"5441","280","ISO",-1.875,1.32876823,"x76","Exp1b"
"5451","1400","ISO",2,1.03077641,"x76","Exp1b"
"5461","1400","GEOM",7.5,1.03077641,"x76","Exp1b"
"5471","280","GEOM",1.875,1.25623445,"x76","Exp1b"
"5481","1400","ISO",2.625,0.6731456,"x76","Exp1b"
"5491","280","GEOM",1.75,1.22474487,"x76","Exp1b"
"5501","280","ISO",-4.625,0.9437293,"x76","Exp1b"
"5511","1400","GEOM",6.625,1.28086885,"x76","Exp1b"
"5521","280","ISO",-1.75,0.55901699,"x76","Exp1b"
"5531","1400","ISO",6.5,1.11803399,"x76","Exp1b"
"5541","1400","GEOM",4.625,0.5153882,"x76","Exp1b"
"5551","280","GEOM",2.25,0.55901699,"x76","Exp1b"
"5561","1400","GEOM",6.75,0.55901699,"x76","Exp1b"
"5571","1400","ISO",4.625,0.80039053,"x76","Exp1b"
"5581","280","GEOM",3.5,0.55901699,"x76","Exp1b"
"5591","280","ISO",-2.375,1.28086885,"x76","Exp1b"
"5601","1400","GEOM",13.375,0.5153882,"x76","Exp1b"
"5611","280","ISO",-3,0.70710678,"x76","Exp1b"
"5621","280","GEOM",0.375,2.13965535,"x76","Exp1b"
"5631","1400","ISO",-1.5,0.55901699,"x76","Exp1b"
"564","280","ISO",-2.125,1.00778222,"x77","Exp1b"
"566","280","GEOM",3.625,1.48429276,"x77","Exp1b"
"567","1400","ISO",12,1.11803399,"x77","Exp1b"
"568","280","GEOM",4.625,1.70018381,"x77","Exp1b"
"5701","1400","ISO",3.75,0.93541435,"x77","Exp1b"
"5711","280","ISO",-4.375,0.80039053,"x77","Exp1b"
"5721","280","GEOM",5.5,2.37170825,"x77","Exp1b"
"5731","1400","GEOM",9.625,1.03832798,"x77","Exp1b"
"5741","1400","ISO",2.375,0.6731456,"x77","Exp1b"
"5751","280","ISO",-5,0.61237244,"x77","Exp1b"
"5761","280","GEOM",1.25,1.03077641,"x77","Exp1b"
"5771","1400","GEOM",6.25,2.35849528,"x77","Exp1b"
"5781","1400","ISO",12.625,1.00778222,"x77","Exp1b"
"5791","280","ISO",-1.5,1.3462912,"x77","Exp1b"
"5811","280","ISO",-3.125,0.9437293,"x77","Exp1b"
"582","280","GEOM",2.25,1.19895788,"x77","Exp1b"
"583","1400","ISO",10,1.43614066,"x77","Exp1b"
"584","1400","GEOM",14.125,0.5153882,"x77","Exp1b"
"585","1400","ISO",12,0.93541435,"x77","Exp1b"
"586","280","ISO",-0.375,2.85317805,"x77","Exp1b"
"587","280","GEOM",11.25,1.11803399,"x77","Exp1b"
"588","1400","ISO",-0.375,1.00778222,"x77","Exp1b"
"589","280","GEOM",3,0.70710678,"x77","Exp1b"
"590","280","ISO",-2.625,0.5153882,"x77","Exp1b"
"591","1400","GEOM",2.875,0.375,"x77","Exp1b"
"592","280","GEOM",-0.375,1.00778222,"x78","Exp1b"
"593","1400","GEOM",1.5,0.8291562,"x78","Exp1b"
"594","280","ISO",-2.375,1.125,"x78","Exp1b"
"595","1400","ISO",9.875,2.85317805,"x78","Exp1b"
"596","1400","GEOM",2.25,1.3462912,"x78","Exp1b"
"597","280","GEOM",-2.5,1.03077641,"x78","Exp1b"
"598","1400","ISO",1.25,1.03077641,"x78","Exp1b"
"599","280","ISO",-5.25,1.11803399,"x78","Exp1b"
"600","280","GEOM",-1.75,0.8291562,"x78","Exp1b"
"601","1400","ISO",1.5,1.03077641,"x78","Exp1b"
"602","280","ISO",-2.25,0.55901699,"x78","Exp1b"
"603","1400","GEOM",2.75,0.93541435,"x78","Exp1b"
"604","280","GEOM",-0.125,0.71807033,"x78","Exp1b"
"605","1400","GEOM",1.625,0.80039053,"x78","Exp1b"
"606","280","ISO",-3.625,1.00778222,"x78","Exp1b"
"607","1400","ISO",-0.25,1.3462912,"x78","Exp1b"
"608","1400","ISO",-0.75,0.55901699,"x78","Exp1b"
"609","280","ISO",-4.625,1.28086885,"x78","Exp1b"
"610","280","GEOM",0.75,0.55901699,"x78","Exp1b"
"611","1400","GEOM",2.25,1.03077641,"x78","Exp1b"
"612","1400","ISO",-0.625,1.32876823,"x78","Exp1b"
"613","280","ISO",-5.25,0.93541435,"x78","Exp1b"
"614","1400","GEOM",1.5,0.70710678,"x78","Exp1b"
"615","280","GEOM",-2.625,1.00778222,"x78","Exp1b"
"616","1400","ISO",8,3.74165739,"x78","Exp1b"
"617","1400","GEOM",1.125,0.5153882,"x78","Exp1b"
"618","280","ISO",-4.875,0.80039053,"x78","Exp1b"
"619","280","GEOM",-1,0.55901699,"x78","Exp1b"
"660","280","ISO",-6.25,1.11803399,"z98","Exp1b"
"661","1400","GEOM",-2.75,0.96824584,"z98","Exp1b"
"662","280","GEOM",-2,0.61237244,"z98","Exp1b"
"663","280","GEOM",-3.125,0.9437293,"z98","Exp1b"
"664","280","ISO",-8.875,1.46308749,"z98","Exp1b"
"665","1400","ISO",-3.125,1.125,"z98","Exp1b"
"666","1400","GEOM",-1.25,1.36930639,"z98","Exp1b"
"667","280","GEOM",-2.5,1.11803399,"z98","Exp1b"
"668","280","ISO",-8.5,0.55901699,"z98","Exp1b"
"669","1400","GEOM",-0.625,1.17924764,"z98","Exp1b"
"670","1400","ISO",-4.75,1.27475488,"z98","Exp1b"
"671","280","GEOM",-6.5,0.96824584,"z98","Exp1b"
"672","280","ISO",-8,0.96824584,"z98","Exp1b"
"673","1400","ISO",-3.875,0.71807033,"z98","Exp1b"
"674","1400","GEOM",0.625,0.375,"z98","Exp1b"
"675","1400","ISO",-3.375,1.90804219,"z98","Exp1b"
"676","280","GEOM",-3.5,1.22474487,"z98","Exp1b"
"677","280","ISO",-6.5,0.96824584,"z98","Exp1b"
"678","1400","GEOM",-1.5,1.47901995,"z98","Exp1b"
"679","1400","GEOM",-1.125,0.80039053,"z98","Exp1b"
"680","280","GEOM",-2.75,1.22474487,"z99","Exp1b"
"681","280","ISO",-3.875,0.375,"z99","Exp1b"
"682","1400","ISO",-3.875,1.03832798,"z99","Exp1b"
"683","1400","GEOM",-3.375,0.80039053,"z99","Exp1b"
"684","1400","ISO",-5.625,0.5153882,"z99","Exp1b"
"685","280","GEOM",-1.625,0.71807033,"z99","Exp1b"
"686","280","ISO",-8,1.62018517,"z99","Exp1b"
