,API,F0,F0_masker,cf_high,cf_low,decoding_type,delta,delta_theta,dur,dur_ramp,finite_difference_method,fs,level,masker_interval,model,model_name,n_cf,n_fiber_per_chan,nominal_F0,nominal_level,result,roving_type,stimulus
0,[0.],280.0,280.0161739013291,3080.0,1400.0,RP,0.01,[0.01],0.1,0.01,forward,1000000.0,45.250885147015424,0.001,Heinz2001,Heinz2001,40.0,51.0,280.0,30.0,0.6812315332951542,none,iso
1,[0.],1400.0,1400.0808695066457,15400.0,7000.0,RP,0.01,[0.01],0.1,0.01,forward,1000000.0,47.935819526844284,0.001,Heinz2001,Heinz2001,40.0,51.0,1400.0,30.0,3.114358975025289,none,iso
